id_membro,Nivel_Senioridade,Avaliacao_Tecnica,Avaliacao_Comportamental,Engajamento_PIGs,Score_Desempenho,Status_Membro
1,Júnior,"7,5","8,1",0.9,7.8,Em destaque
2,Pleno,"8,2","7,5",0.75,7.85,Padrão
3,Sênior,"9,1","9,5",1.0,9.3,Em destaque
4,Pleno,"6,5","7,0",0.8,6.75,Padrão
5,Pleno,"7,8","8,8",0.82,8.3,Em destaque
6,Pleno,"8,0","6,5",0.7,7.25,Padrão
7,Pleno,"5,5","6,0",0.5,5.75,Padrão
8,Pleno,"9,0","9,2",0.95,9.1,Em destaque
9,Sênior,"8,8","8,5",0.85,8.65,Em destaque
10,Pleno,"7,1","7,3",0.9,7.2,Em destaque
11,Pleno,"6,9","7,8",0.75,7.35,Padrão
12,Júnior,"7,3","7,7",0.8,7.5,Em destaque
13,Pleno,"7,86","8,2",0.82,8.03,Em destaque
14,Sênior,"9,5","9,0",1.0,9.25,Em destaque
15,Júnior,"6,8","7,1",0.85,6.95,Padrão
16,Pleno,"8,1","8,5",0.9,8.3,Em destaque
17,Pleno,"7,7","7,0",0.7,7.35,Padrão
18,Pleno,"6,0","6,2",0.5,6.1,Padrão
19,Júnior,"8,9","9,0",0.95,8.95,Em destaque
20,Sênior,"9,2","8,8",0.85,9.0,Em destaque
21,Júnior,"7,4","7,6",0.9,7.5,Em destaque
22,Pleno,"7,0","8,0",0.75,7.5,Padrão
23,Júnior,"7,6","7,9",0.8,7.75,Em destaque
24,Pleno,"8,3","7,95",0.75,8.12,Padrão
25,Sênior,"9,3","9,3",1.0,9.3,Em destaque
26,Júnior,"6,7","7,2",0.85,6.95,Padrão
27,Pleno,"8,4","8,7",0.9,8.55,Em destaque
28,Pleno,"7,9","7,3",0.7,7.6,Padrão
29,Pleno,"6,2","6,4",0.82,6.3,Padrão
30,Júnior,"8,8","9,1",0.95,8.95,Em destaque
31,Sênior,"9,0","8,7",0.85,8.85,Em destaque
32,Júnior,"7,2","7,5",0.9,7.35,Em destaque
33,Pleno,"7,1","8,1",0.75,7.6,Padrão
34,Júnior,"8,5","8,0",0.9,8.25,Em destaque
35,Pleno,"7,8","7,2",0.75,7.5,Padrão
36,Sênior,"9,8","9,7",1.0,9.75,Em destaque
37,Júnior,"6,3","6,8",0.8,6.55,Padrão
38,Pleno,"8,0","8,9",0.82,8.45,Em destaque
39,Pleno,"8,2","6,7",0.7,7.45,Padrão
40,Pleno,"5,8","6,1",0.5,5.95,Padrão
41,Júnior,"9,2","9,3",0.95,9.25,Em destaque
42,Sênior,"8,7","8,6",0.85,8.65,Em destaque
43,Júnior,"7,6","7,4",0.9,7.5,Em destaque
44,Pleno,"7,3","7,9",0.75,7.6,Padrão
45,Júnior,"7,1","7,5",0.8,7.3,Em destaque
46,Pleno,"8,4","7,95",0.75,8.18,Padrão
47,Sênior,"9,6","9,1",1.0,9.35,Em destaque
48,Júnior,"6,9","7,0",0.85,6.95,Padrão
49,Pleno,"8,3","8,6",0.9,8.45,Em destaque
50,Pleno,"7,8","7,1",0.7,7.45,Padrão
51,Pleno,"6,1","6,3",0.82,6.2,Padrão
52,Júnior,"8,7","9,2",0.95,8.95,Em destaque
53,Sênior,"9,1","8,9",0.85,9.0,Em destaque
54,Júnior,"7,5","7,7",0.9,7.6,Em destaque
55,Pleno,"7,2","8,2",0.75,7.7,Padrão
56,Júnior,"7,4","7,8",0.8,7.6,Em destaque
57,Pleno,"8,1","7,4",0.75,7.75,Padrão
58,Sênior,"9,4","9,2",1.0,9.3,Em destaque
59,Júnior,"6,6","7,3",0.85,6.95,Padrão
60,Pleno,"8,2","8,8",0.9,8.5,Em destaque
61,Pleno,"8,1","6,8",0.7,7.45,Padrão
62,Pleno,"5,9","6,5",0.5,6.2,Padrão
63,Júnior,"9,1","9,4",0.95,9.25,Em destaque
64,Sênior,"8,9","8,8",0.85,8.85,Em destaque
65,Júnior,"7,3","7,8",0.9,7.55,Em destaque
66,Pleno,"7,4","8,3",0.75,7.85,Padrão
67,Júnior,"7,2","7,6",0.8,7.4,Em destaque
68,Pleno,"8,5","7,6",0.75,8.05,Padrão
69,Sênior,"9,7","9,4",1.0,9.55,Em destaque
70,Júnior,"6,4","6,9",0.8,6.65,Padrão
71,Pleno,"7,9","8,7",0.82,8.3,Em destaque
72,Pleno,"8,3","6,9",0.7,7.6,Padrão
73,Pleno,"5,7","6,0",0.5,5.85,Padrão
74,Júnior,"9,3","9,5",0.95,9.4,Em destaque
75,Sênior,"8,6","8,7",0.85,8.65,Em destaque
76,Júnior,"7,7","7,5",0.9,7.6,Em destaque
77,Pleno,"7,5","8,0",0.75,7.75,Padrão
78,Júnior,"7,0","7,4",0.8,7.2,Em destaque
79,Pleno,"8,2","7,1",0.75,7.65,Padrão
80,Sênior,"9,9","9,8",1.0,9.85,Em destaque
81,Júnior,"6,8","7,1",0.8,6.95,Padrão
82,Pleno,"8,1","9,0",0.82,8.55,Em destaque
83,Pleno,"7,9","6,6",0.7,7.25,Padrão
84,Pleno,"6,3","6,2",0.5,6.25,Padrão
85,Júnior,"8,9","9,1",0.95,9.0,Em destaque
86,Sênior,"9,0","8,9",0.85,8.95,Em destaque
87,Júnior,"7,4","7,6",0.9,7.5,Em destaque
88,Pleno,"7,6","8,1",0.75,7.85,Padrão
89,Júnior,"7,3","7,7",0.8,7.5,Em destaque
90,Pleno,"7,86","8,3",0.75,8.08,Padrão
91,Sênior,"9,5","9,3",1.0,9.4,Em destaque
92,Júnior,"6,7","7,2",0.85,6.95,Padrão
93,Pleno,"8,4","8,8",0.9,8.6,Em destaque
94,Pleno,"7,8","7,2",0.7,7.5,Padrão
95,Pleno,"6,2","6,4",0.82,6.3,Padrão
96,Júnior,"8,8","9,2",0.95,9.0,Em destaque
97,Sênior,"9,1","8,8",0.85,8.95,Em destaque
98,Júnior,"7,1","7,5",0.9,7.3,Em destaque
99,Pleno,"7,0","8,2",0.75,7.6,Padrão
100,Júnior,"7,6","7,9",0.8,7.75,Em destaque
101,Pleno,"8,3","7,5",0.75,7.9,Padrão
102,Sênior,"9,3","9,1",1.0,9.2,Em destaque
103,Júnior,"6,9","7,0",0.85,6.95,Padrão
104,Pleno,"8,3","8,7",0.9,8.5,Em destaque
105,Pleno,"7,7","7,1",0.7,7.4,Padrão
106,Pleno,"6,1","6,3",0.5,6.2,Padrão
107,Júnior,"8,7","9,0",0.95,8.85,Em destaque
108,Sênior,"9,2","8,9",0.85,9.05,Em destaque
109,Júnior,"7,5","7,7",0.9,7.6,Em destaque
110,Pleno,"7,2","8,1",0.75,7.65,Padrão
111,Júnior,"7,4","7,8",0.8,7.6,Em destaque
112,Pleno,"8,1","7,4",0.75,7.75,Padrão
113,Sênior,"9,4","9,2",1.0,9.3,Em destaque
114,Júnior,"6,6","7,3",0.85,6.95,Padrão
115,Pleno,"8,2","8,9",0.9,8.55,Em destaque
116,Pleno,"8,1","6,8",0.7,7.45,Padrão
117,Pleno,"5,9","6,5",0.5,6.2,Padrão
118,Júnior,"9,1","9,3",0.95,9.2,Em destaque
119,Sênior,"8,9","8,8",0.85,8.85,Em destaque
120,Júnior,"7,3","7,8",0.9,7.55,Em destaque
121,Pleno,"7,4","8,3",0.75,7.85,Padrão
122,Júnior,"7,2","7,6",0.8,7.4,Em destaque
123,Pleno,"8,5","7,6",0.75,8.05,Padrão
124,Sênior,"9,7","9,4",1.0,9.55,Em destaque
125,Júnior,"6,4","6,9",0.8,6.65,Padrão
126,Pleno,"7,9","8,7",0.82,8.3,Em destaque
127,Pleno,"8,3","6,9",0.7,7.6,Padrão
128,Pleno,"5,7","6,0",0.5,5.85,Padrão
129,Júnior,"9,3","9,5",0.95,9.4,Em destaque
130,Sênior,"8,6","8,7",0.85,8.65,Em destaque
131,Júnior,"7,7","7,5",0.9,7.6,Em destaque
132,Pleno,"7,5","8,0",0.75,7.75,Padrão
133,Júnior,"7,0","7,4",0.8,7.2,Em destaque
134,Pleno,"8,2","7,1",0.75,7.65,Padrão
135,Sênior,"9,9","9,8",1.0,9.85,Em destaque
136,Júnior,"6,8","7,1",0.8,6.95,Padrão
137,Pleno,"8,1","9,0",0.82,8.55,Em destaque
138,Pleno,"7,9","6,6",0.7,7.25,Padrão
139,Pleno,"6,3","6,2",0.5,6.25,Padrão
140,Júnior,"8,9","9,1",0.95,9.0,Em destaque
141,Sênior,"9,0","8,9",0.85,8.95,Em destaque
142,Júnior,"7,4","7,6",0.9,7.5,Em destaque
143,Pleno,"7,6","8,1",0.75,7.85,Padrão
144,Júnior,"7,3","7,7",0.8,7.5,Em destaque
145,Pleno,"7,86","8,3",0.75,8.08,Padrão
146,Sênior,"9,5","9,3",1.0,9.4,Em destaque
147,Júnior,"6,7","7,2",0.85,6.95,Padrão
148,Pleno,"8,4","8,8",0.9,8.6,Em destaque
149,Pleno,"7,8","7,2",0.7,7.5,Padrão
150,Pleno,"6,2","6,4",0.82,6.3,Padrão
151,Júnior,"8,8","9,2",0.95,9.0,Em destaque
152,Sênior,"9,1","8,8",0.85,8.95,Em destaque
153,Júnior,"7,1","7,5",0.9,7.3,Em destaque
154,Pleno,"7,0","8,2",0.75,7.6,Padrão
155,Júnior,"7,6","7,9",0.8,7.75,Em destaque
156,Pleno,"8,3","7,5",0.75,7.9,Padrão
157,Sênior,"9,3","9,1",1.0,9.2,Em destaque
158,Júnior,"6,9","7,0",0.85,6.95,Padrão
159,Pleno,"8,3","8,7",0.9,8.5,Em destaque
160,Pleno,"7,7","7,1",0.7,7.4,Padrão
161,Pleno,"6,1","6,3",0.5,6.2,Padrão
162,Júnior,"8,7","9,0",0.95,8.85,Em destaque
163,Sênior,"9,2","8,9",0.85,9.05,Em destaque
164,Júnior,"7,5","7,7",0.9,7.6,Em destaque
165,Pleno,"7,2","8,1",0.75,7.65,Padrão
166,Júnior,"7,4","7,8",0.8,7.6,Em destaque
167,Pleno,"8,1","7,4",0.75,7.75,Padrão
168,Sênior,"9,4","9,2",1.0,9.3,Em destaque
169,Júnior,"6,6","7,3",0.85,6.95,Padrão
170,Pleno,"8,2","8,9",0.9,8.55,Em destaque
171,Pleno,"8,1","6,8",0.7,7.45,Padrão
172,Pleno,"5,9","6,5",0.5,6.2,Padrão
173,Júnior,"9,1","9,3",0.95,9.2,Em destaque
174,Sênior,"8,9","8,8",0.85,8.85,Em destaque
175,Júnior,"7,3","7,8",0.9,7.55,Em destaque
176,Pleno,"7,4","8,3",0.75,7.85,Padrão
177,Júnior,"7,2","7,6",0.8,7.4,Em destaque
178,Pleno,"8,5","7,6",0.75,8.05,Padrão
179,Sênior,"9,7","9,4",1.0,9.55,Em destaque
180,Júnior,"6,4","6,9",0.8,6.65,Padrão
181,Pleno,"7,9","8,7",0.82,8.3,Em destaque
182,Pleno,"8,3","6,9",0.7,7.6,Padrão
183,Pleno,"5,7","6,0",0.5,5.85,Padrão
184,Júnior,"9,3","9,5",0.95,9.4,Em destaque
185,Sênior,"8,6","8,7",0.85,8.65,Em destaque
186,Júnior,"7,7","7,5",0.9,7.6,Em destaque
187,Pleno,"7,5","8,0",0.75,7.75,Padrão
188,Júnior,"7,0","7,4",0.8,7.2,Em destaque
189,Pleno,"8,2","7,1",0.75,7.65,Padrão
190,Sênior,"9,9","9,8",1.0,9.85,Em destaque
191,Júnior,"6,8","7,1",0.8,6.95,Padrão
192,Pleno,"8,1","9,0",0.82,8.55,Em destaque
193,Pleno,"7,9","6,6",0.7,7.25,Padrão
194,Pleno,"6,3","6,2",0.5,6.25,Padrão
195,Júnior,"8,9","9,1",0.95,9.0,Em destaque
196,Sênior,"9,0","8,9",0.85,8.95,Em destaque
197,Júnior,"7,4","7,6",0.9,7.5,Em destaque
198,Pleno,"7,6","8,1",0.75,7.85,Padrão
199,Júnior,"7,3","7,7",0.8,7.5,Em destaque
200,Pleno,"7,86","8,3",0.75,8.08,Padrão
201,Sênior,"9,5","9,3",1.0,9.4,Em destaque
202,Júnior,"6,7","7,2",0.85,6.95,Padrão
203,Pleno,"8,4","8,8",0.9,8.6,Em destaque
204,Pleno,"7,8","7,2",0.7,7.5,Padrão
205,Pleno,"6,2","6,4",0.82,6.3,Padrão
206,Júnior,"8,8","9,2",0.95,9.0,Em destaque
207,Sênior,"9,1","8,8",0.85,8.95,Em destaque
208,Júnior,"7,1","7,5",0.9,7.3,Em destaque
209,Pleno,"7,0","8,2",0.75,7.6,Padrão
210,Júnior,"7,6","7,9",0.8,7.75,Em destaque
211,Pleno,"8,3","7,5",0.75,7.9,Padrão
212,Sênior,"9,3","9,1",1.0,9.2,Em destaque
213,Júnior,"6,9","7,0",0.85,6.95,Padrão
214,Pleno,"8,3","8,7",0.9,8.5,Em destaque
215,Pleno,"7,7","7,1",0.7,7.4,Padrão
216,Pleno,"6,1","6,3",0.5,6.2,Padrão
217,Júnior,"8,7","9,0",0.95,8.85,Em destaque
218,Sênior,"9,2","8,9",0.85,9.05,Em destaque
219,Júnior,"7,5","7,7",0.9,7.6,Em destaque
220,Pleno,"7,2","8,1",0.75,7.65,Padrão
221,Júnior,"7,4","7,8",0.8,7.6,Em destaque
222,Pleno,"8,1","7,4",0.75,7.75,Padrão
223,Sênior,"9,4","9,2",1.0,9.3,Em destaque
224,Júnior,"6,6","7,3",0.85,6.95,Padrão
225,Pleno,"8,2","8,9",0.9,8.55,Em destaque
226,Pleno,"8,1","6,8",0.7,7.45,Padrão
227,Pleno,"5,9","6,5",0.5,6.2,Padrão
228,Júnior,"9,1","9,3",0.95,9.2,Em destaque
229,Sênior,"8,9","8,8",0.85,8.85,Em destaque
230,Júnior,"7,3","7,8",0.9,7.55,Em destaque
231,Pleno,"7,4","8,3",0.75,7.85,Padrão
232,Júnior,"7,2","7,6",0.8,7.4,Em destaque
233,Pleno,"8,5","7,6",0.75,8.05,Padrão
234,Sênior,"9,7","9,4",1.0,9.55,Em destaque
235,Júnior,"6,4","6,9",0.8,6.65,Padrão
236,Pleno,"7,9","8,7",0.82,8.3,Em destaque
237,Pleno,"8,3","6,9",0.7,7.6,Padrão
238,Pleno,"5,7","6,0",0.5,5.85,Padrão
239,Júnior,"9,3","9,5",0.95,9.4,Em destaque
240,Sênior,"8,6","8,7",0.85,8.65,Em destaque
241,Júnior,"7,7","7,5",0.9,7.6,Em destaque
242,Pleno,"7,5","8,0",0.75,7.75,Padrão
243,Júnior,"7,0","7,4",0.8,7.2,Em destaque
244,Pleno,"8,2","7,1",0.75,7.65,Padrão
245,Sênior,"9,9","9,8",1.0,9.85,Em destaque
246,Júnior,"6,8","7,1",0.8,6.95,Padrão
247,Pleno,"8,1","9,0",0.82,8.55,Em destaque
248,Pleno,"7,9","6,6",0.7,7.25,Padrão
249,Pleno,"6,3","6,2",0.5,6.25,Padrão
250,Júnior,"8,9","9,1",0.95,9.0,Em destaque
251,Sênior,"9,0","8,9",0.85,8.95,Em destaque
252,Júnior,"7,4","7,6",0.9,7.5,Em destaque
253,Pleno,"7,6","8,1",0.75,7.85,Padrão
